product_id,product_name,description,price,discount_percentage,category,brand,stock_quantity,color,size,weight,dimensions,release_date,rating,reviews_count,seller_name,seller_rating,seller_reviews_count,shipping_method,shipping_cost
1,diam in magna bibendum imperdiet nullam orci pede venenatis non sodales,Etiam pretium iaculis justo. In hac habitasse platea dictumst. Etiam faucibus cursus urna. Ut tellus. Nulla ut erat id mauris vulputate elementum.,282.08,2.74,electronics,vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare,984,Puce,small,0.4,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla,2015-11-02,4.0,0,eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros,1.3,997,express,37.36
2,pede justo lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus,Nullam varius. Nulla facilisi. Cras non velit nec nisi vulputate nonummy. Maecenas tincidunt lacus at velit. Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,564.27,14.0,clothing,ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia,122,Indigo,large,5.6,in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus,2012-06-27,3.9,256,erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in,4.6,931,free,12.0
3,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem. Fusce consequat.",375.13,18.67,clothing,quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum,537,Teal,large,1.3,in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit,2018-08-02,3.3,512,lorem integer tincidunt ante vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit,3.7,432,express,27.47
4,mi sit amet lobortis sapien sapien non mi integer ac neque duis bibendum morbi,"Morbi ut odio. Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",198.76,6.06,home decor,in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna,877,Khaki,large,4.5,lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce,2014-08-01,3.5,121,orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu,3.8,153,standard,13.03
5,consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus,"Curabitur gravida nisi at nibh. In hac habitasse platea dictumst. Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem. Integer tincidunt ante vel ipsum.",546.62,32.7,toys,praesent lectus vestibulum quam sapien varius ut blandit non interdum in,869,Puce,small,4.4,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero,2011-05-22,4.8,793,hac habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris,2.7,754,free,36.35
6,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi. Integer ac neque. Duis bibendum. Morbi non quam nec dui luctus rutrum. Nulla tellus.",140.49,43.05,home decor,laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis,953,Aquamarine,large,6.9,in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper,2015-08-16,3.5,691,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra,2.0,426,express,10.92
7,ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar,"In sagittis dui vel nisl. Duis ac nibh. Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem. Quisque ut erat.",527.91,17.39,clothing,vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum,101,Orange,small,9.0,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,2019-10-12,3.8,930,dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc,2.2,585,standard,34.4
8,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus,"Aliquam non mauris. Morbi non lectus. Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis. Fusce posuere felis sed lacus.",777.37,44.24,electronics,vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at,543,Orange,small,9.0,eleifend quam a odio in hac habitasse platea dictumst maecenas,2010-06-26,2.4,346,nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat,4.3,423,free,32.09
9,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros. Vestibulum ac est lacinia nisi venenatis tristique. Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat. In congue. Etiam justo. Etiam pretium iaculis justo.",448.48,44.98,electronics,quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec,809,Fuscia,medium,5.6,porttitor lacus at turpis donec posuere metus vitae ipsum aliquam,2020-02-17,1.2,991,nullam porttitor lacus at turpis donec posuere metus vitae ipsum,3.9,366,express,4.47
10,ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit,Suspendisse potenti. In eleifend quam a odio. In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt. Nulla mollis molestie lorem.,987.81,38.18,toys,blandit lacinia erat vestibulum sed magna at nunc commodo placerat praesent blandit nam nulla integer pede justo lacinia eget,972,Orange,small,7.4,morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id,2017-06-15,1.0,89,auctor gravida sem praesent id massa id nisl venenatis lacinia aenean,4.8,242,standard,2.13
